Frame ordinal,Time (s),"displacement (vertical, cm)","displacement (horizontal, cm)","velocity (vertical, m/s)","velocity (horizontal, m/s)","acceleration (vertical, m/s^2)","acceleration (horizontal, m/s^2)","power (vertical, kW)","power (horizontal, kW)","force (vertical, kN)","force (horizontal, kN)"
251,44.218,5.85,-36.83,0.01,-0.01,0.47,0.28,0.01,0.00,1.47,0.04
252,44.251,5.91,-36.87,0.03,0.01,0.45,0.39,0.04,0.00,1.47,0.06
253,44.285,6.04,-36.80,0.04,0.03,0.33,0.33,0.06,0.00,1.45,0.05
254,44.318,6.20,-36.64,0.05,0.04,0.16,0.13,0.07,0.00,1.42,0.02
255,44.351,6.38,-36.51,0.05,0.03,-0.01,-0.09,0.07,0.00,1.40,0.00
256,44.385,6.55,-36.42,0.05,0.03,-0.16,-0.22,0.07,0.00,1.38,0.00
257,44.418,6.71,-36.34,0.04,0.02,-0.26,-0.24,0.05,0.00,1.36,0.00
258,44.451,6.82,-36.28,0.03,0.01,-0.29,-0.18,0.04,0.00,1.36,0.00
259,44.485,6.89,-36.28,0.02,0.00,-0.24,-0.09,0.02,0.00,1.37,0.00
260,44.518,6.93,-36.30,0.01,0.00,-0.13,-0.02,0.01,0.00,1.38,0.00
261,44.552,6.95,-36.27,0.01,0.01,-0.05,-0.00,0.01,0.00,1.39,0.00
262,44.585,6.97,-36.23,0.01,0.00,-0.04,-0.04,0.01,0.00,1.40,0.00
263,44.618,7.02,-36.23,0.01,0.00,-0.08,-0.06,0.01,0.00,1.39,0.00
264,44.652,7.06,-36.24,0.00,-0.00,-0.07,-0.04,0.00,0.00,1.39,0.00
265,44.685,7.04,-36.24,-0.00,-0.00,0.03,-0.00,0.00,0.00,1.41,0.00
266,44.718,7.01,-36.23,0.00,-0.00,0.15,0.04,0.01,0.00,1.42,0.01
267,44.751,7.04,-36.24,0.01,0.00,0.16,0.09,0.02,0.00,1.42,0.01
